Date,Open,High,Low,Close,Volume
2023-09-19,42.0,42.95,33.67,33.7,39495932.0
2023-09-20,32.01,33.48,29.96,30.1,16366022.0
2023-09-21,30.21,31.9,29.9,30.65,7307900.0
2023-09-22,31.56,31.6,29.91,30.0,4459439.0
2023-09-25,29.9,30.42,29.05,30.39,3681167.0
2023-09-26,30.2,30.3,29.75,29.89,1564888.0
2023-09-27,29.75,30.0,28.26,28.54,2995371.0
2023-09-28,28.44,30.16,28.4315,29.83,2095791.0
2023-09-29,30.1,30.88,29.19,29.69,1928637.0
2023-10-02,29.34,29.72,26.9,26.96,4915635.0
2023-10-03,26.66,27.38,26.11,26.54,1795208.0
2023-10-04,26.37,27.513,26.2,27.31,935538.0
2023-10-05,26.94,27.8,25.7,26.2,1742046.0
2023-10-06,26.2,26.22,24.68,25.47,2728339.0
2023-10-09,25.0,25.125,23.36,24.66,2615110.0
2023-10-10,24.66,27.49,24.66,26.92,5378288.0
2023-10-11,26.92,27.0701,24.77,24.94,3310163.0
2023-10-12,25.28,25.52,23.64,24.72,3543025.0
2023-10-13,24.31,26.2,24.31,25.57,1738917.0
2023-10-16,26.1,26.15,24.55,24.85,2097442.0
2023-10-17,25.15,25.15,24.37,24.52,1149912.0
2023-10-18,24.62,25.43,24.095,25.41,1186141.0
2023-10-19,25.04,25.49,24.4,24.43,1013802.0
2023-10-20,24.51,26.12,24.16,24.85,1394500.0
2023-10-23,24.66,24.94,24.11,24.62,1003992.0
2023-10-24,24.5,26.8,24.336,26.4,1904685.0
2023-10-25,25.83,26.1399,24.48,25.16,654498.0
2023-10-26,25.16,25.38,24.36,24.69,876779.0
2023-10-27,24.8,25.555,24.59,24.91,790539.0
2023-10-30,24.94,25.99,24.81,25.83,496658.0
2023-10-31,25.83,25.87,24.41,24.63,1008603.0
2023-11-01,24.9,25.07,24.31,25.05,566175.0
2023-11-02,25.66,26.97,25.07,26.66,1951921.0
2023-11-03,26.75,28.88,26.54,26.91,2488918.0
2023-11-06,27.3,27.945,26.66,27.31,919381.0
2023-11-07,27.5,29.28,27.13,28.47,1743331.0
2023-11-08,28.62,28.62,26.82,27.24,2767405.0
2023-11-09,27.46,27.4851,23.55,24.48,5361386.0
2023-11-10,24.59,26.34,24.41,25.21,2269662.0
2023-11-13,25.01,25.98,24.77,25.56,1361006.0
2023-11-14,25.83,26.58,25.0915,25.88,974582.0
2023-11-15,25.88,26.9598,25.86,25.9,1099964.0
2023-11-16,25.5,25.8,24.86,25.04,1306567.0
2023-11-17,25.1,25.43,24.89,25.25,696831.0
2023-11-20,25.2,26.0,24.93,25.85,978922.0
2023-11-21,25.52,25.77,24.63,24.69,1027379.0
2023-11-22,24.95,25.19,24.66,25.06,842560.0
2023-11-24,24.94,25.87,24.87,25.68,340472.0
2023-11-27,25.77,25.87,25.0,25.16,750042.0
2023-11-28,25.05,25.93,24.79,25.46,781366.0
2023-11-29,25.56,27.68,25.42,25.51,1790513.0
2023-11-30,25.67,25.86,24.11,24.19,2169678.0
2023-12-01,24.08,25.54,23.9,25.37,1709804.0
2023-12-04,25.26,25.76,24.2315,24.41,1996941.0
2023-12-05,24.2,24.36,23.325,23.73,1897928.0
2023-12-06,23.68,24.55,23.26,23.51,1295957.0
2023-12-07,23.6,24.31,23.31,23.71,1586478.0
2023-12-08,23.89,24.64,23.71,24.44,1623832.0
2023-12-11,24.54,24.7,24.02,24.23,684143.0
2023-12-12,23.93,24.13,23.35,23.53,1361510.0
2023-12-13,23.66,24.99,23.465,24.88,1402611.0
2023-12-14,25.5,26.38,25.22,26.03,1917543.0
2023-12-15,26.18,26.34,24.01,24.6,3061403.0
2023-12-18,24.74,25.13,24.52,25.1,1394033.0
2023-12-19,25.25,25.46,24.5204,24.61,1706244.0
2023-12-20,24.39,24.65,23.15,23.15,2471178.0
2023-12-21,23.56,23.71,23.02,23.39,2588270.0
2023-12-22,23.55,24.22,23.3,23.785,1167638.0
2023-12-26,23.96,24.2,23.6,24.19,1079143.0
2023-12-27,24.22,24.7,23.68,23.93,1072335.0
2023-12-28,23.81,24.24,23.54,23.84,878557.0
2023-12-29,23.77,24.39,23.38,23.47,1207264.0
2024-01-02,23.44,24.25,23.15,24.03,1365580.0
2024-01-03,23.72,24.99,23.52,23.56,2659112.0
2024-01-04,23.5,23.92,22.81,22.99,1879516.0
2024-01-05,23.11,23.11,22.13,22.43,2059692.0
2024-01-08,22.43,23.41,22.365,23.4,2039960.0
2024-01-09,22.94,23.0435,22.25,22.97,2309536.0
2024-01-10,23.08,23.87,23.02,23.4,1429833.0
2024-01-11,23.39,23.59,22.6,23.23,1304412.0
2024-01-12,23.42,23.5,22.86,23.09,859789.0
2024-01-16,22.96,24.11,22.7,23.88,1659556.0
2024-01-17,25.19,25.93,24.7201,25.67,4210554.0
2024-01-18,25.65,27.19,25.31,25.63,3628054.0
2024-01-19,25.7,26.165,25.32,26.01,1486896.0
2024-01-22,26.5,27.9433,26.29,27.17,2710247.0
2024-01-23,27.25,27.57,24.8901,25.23,4177565.0
2024-01-24,25.29,25.4643,24.42,24.8,3394869.0
2024-01-25,25.24,26.01,25.05,25.54,1718573.0
2024-01-26,25.5,26.36,25.22,25.48,1414682.0
2024-01-29,25.46,25.92,24.82,25.88,1910069.0
2024-01-30,25.74,25.92,24.77,25.46,1839171.0
2024-01-31,25.17,25.37,24.445,24.47,1806623.0
2024-02-01,24.57,25.58,24.14,25.25,2945095.0
2024-02-02,25.04,25.525,24.6,25.08,2004705.0
2024-02-05,25.01,25.01,23.59,23.94,2873530.0
2024-02-06,23.86,24.54,23.59,24.47,2780036.0
2024-02-07,24.45,25.05,24.04,24.46,1922246.0
2024-02-08,24.43,26.97,24.43,26.07,5722388.0
2024-02-09,25.16,27.28,24.9,26.6,4212137.0
2024-02-12,26.25,27.99,26.08,27.38,2788776.0
2024-02-13,25.86,27.975,25.56,27.85,7346521.0
2024-02-14,26.26,27.66,24.98,27.33,12161515.0
2024-02-15,26.26,26.78,24.52,26.23,24952296.0
2024-02-16,25.55,28.26,25.55,26.77,11322939.0
2024-02-20,27.0,28.97,26.82,27.7,11612374.0
2024-02-21,27.64,29.236,27.555,28.83,7469031.0
2024-02-22,28.9,30.1,28.56,29.88,7706398.0
2024-02-23,31.0,32.19,29.58,30.59,11108399.0
2024-02-26,30.36,31.46,29.72,31.39,4965528.0
2024-02-27,31.45,32.15,30.88,31.56,5405230.0
2024-02-28,31.22,32.3,30.935,31.22,5415309.0
2024-02-29,31.55,32.91,31.3001,32.54,4780419.0
2024-03-01,32.29,34.6,32.2407,33.17,5947421.0
2024-03-04,32.92,34.15,32.6,33.7,5557246.0
2024-03-05,33.64,34.17,32.3,32.81,4712528.0
2024-03-06,33.03,34.3099,32.92,33.62,4359325.0
2024-03-07,33.62,35.265,33.62,34.39,4299230.0
2024-03-08,34.38,34.7398,33.85,34.38,4319813.0
2024-03-11,34.38,35.0,34.15,34.5,3067804.0
2024-03-12,34.79,35.77,34.705,35.51,2717558.0
2024-03-13,35.1,35.76,34.61,35.35,2122546.0
2024-03-14,36.0,36.2904,35.03,35.74,3512366.0
2024-03-15,35.75,37.09,35.695,35.8,4542532.0
2024-03-18,35.85,37.96,35.77,37.25,4261330.0
2024-03-19,37.39,37.5211,36.17,36.99,2651903.0
2024-03-20,37.0,38.28,36.82,38.08,4203765.0
2024-03-21,37.5,38.56,37.3401,37.82,2771614.0
2024-03-22,38.23,38.23,37.11,37.52,1972496.0
2024-03-25,38.49,38.835,37.88,38.03,1726388.0
2024-03-26,38.06,38.63,36.53,36.54,4142264.0
2024-03-27,36.43,37.19,35.53,37.09,4603097.0
2024-03-28,37.23,37.66,36.88,37.29,2090174.0
2024-04-01,37.36,37.74,36.56,36.86,3430691.0
2024-04-02,36.61,37.575,35.81,37.1,4651625.0
2024-04-03,36.97,37.41,36.759,37.37,2155120.0
2024-04-04,37.775,38.72,37.75,37.9,2920799.0
2024-04-05,37.6,39.3,37.41,39.12,2876634.0
2024-04-08,39.27,39.595,38.1,38.44,1944296.0
2024-04-09,38.28,38.82,37.9,38.51,1427138.0
2024-04-10,37.8,38.94,37.55,38.47,1823521.0
2024-04-11,38.9,39.56,38.26,38.58,2866123.0
2024-04-12,38.45,38.59,37.26,37.81,4408260.0
2024-04-15,37.77,38.14,36.64,37.09,3038628.0
2024-04-16,36.39,37.0,36.11,36.95,3293751.0
2024-04-17,37.01,37.2,35.77,36.35,2331387.0
2024-04-18,36.6,36.82,35.31,36.4,4294433.0
2024-04-19,36.4,36.67,34.36,35.23,5889022.0
2024-04-22,35.49,36.44,34.51,36.09,3065356.0
2024-04-23,34.41,34.715,32.77,33.42,8989190.0
2024-04-24,33.21,34.54,32.29,34.28,4135866.0
2024-04-25,33.43,34.71,33.4,34.54,3089776.0
2024-04-26,34.5,35.04,34.15,34.69,2137276.0
2024-04-29,35.23,35.33,34.12,34.48,4326393.0
2024-04-30,34.27,35.1,33.83,34.13,4833930.0
2024-05-01,34.5,36.35,34.34,35.46,4744765.0
2024-05-02,35.34,35.75,34.74,35.61,2460821.0
2024-05-03,35.94,36.81,35.51,36.7,2353832.0
2024-05-06,37.0,37.52,36.17,36.53,5354135.0
2024-05-07,37.44,37.99,36.72,37.52,5365727.0
2024-05-08,36.74,37.64,36.74,37.48,6682633.0
2024-05-09,37.75,38.87,35.32,36.09,7584595.0
2024-05-10,35.57,35.95,34.885,34.94,5706643.0
2024-05-13,34.38,35.025,33.47,34.75,5028499.0
2024-05-14,34.98,34.98,34.09,34.3,3608228.0
2024-05-15,34.61,35.0,31.9,32.85,10302396.0
2024-05-16,33.3,33.99,32.74,33.2,4903363.0
2024-05-17,33.25,34.66,32.87,34.44,5257240.0
2024-05-20,34.11,34.64,32.38,32.92,6128698.0
2024-05-21,32.92,33.39,32.26,32.58,3268449.0
2024-05-22,32.31,33.6,32.28,32.87,3596215.0
2024-05-23,32.8,32.99,32.25,32.6,3453467.0
2024-05-24,32.8,32.82,31.73,32.37,3575835.0
2024-05-28,32.5,32.52,31.725,32.22,2569211.0
2024-05-29,32.125,32.125,30.89,30.92,6006552.0
2024-05-30,30.91,31.23,30.48,30.5,3367041.0
2024-05-31,30.5,30.67,30.07,30.48,7432029.0
2024-06-03,30.7,31.33,30.3,31.0,3663093.0
2024-06-04,30.63,31.01,29.95,30.13,2554457.0
2024-06-05,31.0,31.27,30.22,30.95,4093075.0
2024-06-06,32.23,34.02,31.61,33.78,6492047.0
2024-06-07,33.36,34.03,32.91,32.98,2776544.0
2024-06-10,33.04,34.725,32.9313,34.51,4089169.0
2024-06-11,34.33,34.57,33.06,33.37,4016567.0
2024-06-12,33.96,34.49,33.18,33.77,3308648.0
