Date,Open,High,Low,Close,Volume
2018-06-28,21.25,22.37,20.56,22.0,21172645.0
2018-06-29,22.4,24.75,22.35,23.65,6078509.0
2018-07-02,23.21,23.94,22.88,23.53,1721582.0
2018-07-03,23.65,25.5,23.6,24.91,2574704.0
2018-07-05,25.51,25.76,23.3,23.75,4335301.0
2018-07-06,23.7,23.93,23.2,23.65,1182993.0
2018-07-09,23.91,24.85,23.72,23.87,1111374.0
2018-07-10,23.87,24.49,23.54,24.44,835831.0
2018-07-11,24.25,25.13,23.62,25.0,960597.0
2018-07-12,25.19,25.45,24.73,25.0,621357.0
2018-07-13,24.86,27.46,24.86,27.05,2293363.0
2018-07-16,27.1,27.39,26.15,27.0,1611537.0
2018-07-17,26.91,27.0,25.5,26.32,1082836.0
2018-07-18,26.06,26.48,25.049,25.8,1148051.0
2018-07-19,25.86,26.64,25.44,25.7,715900.0
2018-07-20,25.7,26.43,25.55,25.91,664459.0
2018-07-23,26.21,26.86,25.71,26.0,1061126.0
2018-07-24,25.96,26.3,25.65,26.01,438803.0
2018-07-25,25.67,26.1,24.814,24.95,1051933.0
2018-07-26,24.7,25.3,24.44,24.94,570584.0
2018-07-27,25.11,25.78,23.8,24.44,741409.0
2018-07-30,24.32,24.98,24.292,24.75,565617.0
2018-07-31,24.86,24.95,24.46,24.79,553292.0
2018-08-01,24.75,25.195,24.55,24.99,390143.0
2018-08-02,24.84,25.84,24.64,25.84,625402.0
2018-08-03,25.98,26.0,25.05,25.51,283340.0
2018-08-06,25.5,26.75,25.35,25.82,510067.0
2018-08-07,25.97,26.49,25.5,25.53,337100.0
2018-08-08,25.53,26.18,25.31,26.0,566237.0
2018-08-09,26.14,26.26,25.1,25.25,501697.0
2018-08-10,25.22,25.4,24.595,25.22,367781.0
2018-08-13,25.15,25.313,24.3,24.59,393064.0
2018-08-14,24.62,24.915,24.34,24.79,646237.0
2018-08-15,24.57,25.48,24.32,24.78,541447.0
2018-08-16,25.1,25.83,24.91,25.1,672988.0
2018-08-17,25.22,25.99,25.16,25.71,321025.0
2018-08-20,25.85,26.849,25.85,26.36,639100.0
2018-08-21,26.54,27.3,26.185,26.43,1088852.0
2018-08-22,26.56,27.1,26.16,26.79,585150.0
2018-08-23,26.86,28.27,26.72,28.17,1604832.0
2018-08-24,28.42,29.41,28.42,29.03,1242686.0
2018-08-27,29.51,29.9,27.01,27.12,3222994.0
2018-08-28,27.53,27.92,25.011,26.88,3004927.0
2018-08-29,26.84,29.07,26.66,29.01,2391418.0
2018-08-30,28.81,30.0,28.3,29.95,1162374.0
2018-08-31,29.81,31.58,29.15,29.5,1601029.0
2018-09-04,29.5,30.99,29.45,30.15,2192000.0
2018-09-05,30.1,30.774,29.51,30.3,1336724.0
2018-09-06,30.51,31.49,30.3,31.45,1568049.0
2018-09-07,31.35,32.92,29.8,30.66,1751539.0
2018-09-10,30.65,31.74,29.42,31.16,1410690.0
2018-09-11,31.08,31.29,30.38,30.41,1080444.0
2018-09-12,30.4,30.856,30.09,30.27,913724.0
2018-09-13,30.29,30.47,28.91,29.01,1050839.0
2018-09-14,28.9,29.2,28.43,28.54,1051476.0
2018-09-17,28.54,29.21,27.8,27.87,1039140.0
2018-09-18,27.57,28.74,27.12,27.75,1335924.0
2018-09-19,27.66,28.47,27.6,28.06,786191.0
2018-09-20,28.08,29.56,28.08,28.91,1187949.0
2018-09-21,29.06,29.36,28.49,29.15,7323077.0
2018-09-24,29.06,29.27,27.951,28.46,1150897.0
2018-09-25,27.93,28.285,27.01,28.06,1795258.0
2018-09-26,27.74,27.935,26.2,26.43,2700028.0
2018-09-27,25.99,27.36,25.8,26.11,15799081.0
2018-09-28,26.02,26.95,26.02,26.78,2870238.0
2018-10-01,26.9,27.67,26.72,27.19,6722637.0
2018-10-02,27.35,27.46,26.06,26.42,2475848.0
2018-10-03,26.45,26.95,25.6,26.59,1855238.0
2018-10-04,26.39,26.88,25.45,25.89,2297296.0
2018-10-05,25.81,26.32,24.85,24.98,2973327.0
2018-10-08,25.03,25.7,24.54,24.89,1447416.0
2018-10-09,24.92,25.52,24.86,25.41,1506188.0
