Date,Open,High,Low,Close,Volume
1999-11-01,20.62,22.25,20.62,21.62,255100
1999-11-02,21,21.75,20.75,21.62,165600
1999-11-03,22.38,22.94,21.88,22,305200
1999-11-04,22,22.75,22,22.38,232500
1999-11-05,22.38,23.69,22.38,23.69,144100
1999-11-08,23.5,23.94,23,23.19,134800
1999-11-09,23.25,23.25,22.25,22.81,130300
1999-11-10,22.94,22.94,22.31,22.69,87300
1999-11-11,22.62,23,22.19,23,111700
1999-11-12,23,23.25,20,21,916900
1999-11-15,21,21.94,20.56,21.94,256800
1999-11-16,21,21.12,20.5,20.75,369600
1999-11-17,21,21,20.44,20.44,216900
1999-11-18,20.5,21,20,20.19,383100
1999-11-19,20.19,20.25,19.06,19.38,377700
1999-11-22,19.62,19.62,18.56,19,174300
1999-11-23,19,19,17.56,18,349000
1999-11-24,18.06,19.62,18.06,19.25,249500
1999-11-26,19,19.5,18.88,19.31,107700
1999-11-29,19.06,20.06,19.06,20.06,250200
1999-11-30,19.5,20.31,19.5,20.19,527000
1999-12-01,20,20.06,19.5,19.81,174400
1999-12-02,19.62,19.75,19,19.62,118000
1999-12-03,19.88,19.94,19.12,19.75,267100
1999-12-06,19.75,19.94,19.25,19.44,185300
1999-12-07,19.5,19.5,19,19.5,120400
1999-12-08,19.88,19.88,19.19,19.5,117100
1999-12-09,19.25,19.38,19,19.31,116400
1999-12-10,19.38,19.38,18.25,18.25,175800
1999-12-13,18.25,18.5,17.88,18,217700
1999-12-14,17.88,17.88,17.12,17.5,263500
1999-12-15,17.25,17.88,17.06,17.88,165700
1999-12-16,17.88,17.88,17,17,320800
1999-12-17,16.88,17,16.38,16.38,278700
1999-12-20,16.25,16.94,15.75,15.88,479200
1999-12-21,16.25,18.25,16.06,18,316600
1999-12-22,18,21.25,18,18.81,436700
1999-12-23,18.81,19.25,18.75,18.94,248700
1999-12-27,19.06,19.19,18.75,18.75,105400
1999-12-28,18.88,20.12,18.81,18.94,175300
1999-12-29,18.94,19.5,18.88,19.38,96500
1999-12-30,19.94,20.25,19.44,19.5,99100
1999-12-31,19.12,19.38,18.62,18.75,130500
2000-01-03,19,19.69,18.5,18.81,170300
2000-01-04,18.44,18.75,18.25,18.5,219600
2000-01-05,18.5,18.69,18,18.19,138800
2000-01-06,18.19,18.25,17.56,18.12,80300
2000-01-07,18.12,18.12,17.56,17.88,134000
2000-01-10,17.88,18.69,17.69,17.94,123900
2000-01-11,17.75,18,17.56,17.75,175600
2000-01-12,18.12,18.12,16.94,17.12,155000
2000-01-13,17.38,17.44,16.25,16.69,223800
2000-01-14,16.94,17.12,16.5,16.62,263000
2000-01-18,16.62,17.12,16.06,16.38,159800
2000-01-19,16.62,18.5,16.38,18.06,271800
2000-01-20,18.12,18.38,17.5,17.62,214500
2000-01-21,18.75,18.75,17.75,18.06,330600
2000-01-24,18.31,19.5,18,18,172500
2000-01-25,17.88,17.94,17.38,17.62,200600
2000-01-26,17.81,18.38,17.56,17.88,163100
2000-01-27,17.62,18.31,17.5,17.69,89200
2000-01-28,17.69,17.81,17.44,17.69,246200
2000-01-31,18,18.88,18,18.44,143500
2000-02-01,18.44,19,17.88,18.62,341000
2000-02-02,18.38,18.94,18.12,18.69,226000
2000-02-03,18.75,19,18.62,18.75,222300
2000-02-04,19,19.12,18.62,18.75,65600
2000-02-07,18.75,18.94,18.25,18.94,131500
2000-02-08,19.19,19.5,18.75,19.12,196700
2000-02-09,19.12,19.56,19,19.06,119700
2000-02-10,19,19.12,18.69,18.81,116400
2000-02-11,18.38,18.75,17.88,17.94,377700
2000-02-14,17.69,18,17.69,18,171800
2000-02-15,18,18,17.56,17.88,311500
2000-02-16,17.62,17.94,17.62,17.94,185200
2000-02-17,17.75,17.94,17.75,17.81,118200
2000-02-18,17.94,17.94,17,17.12,164300
2000-02-22,17,17.25,17,17.12,101700
2000-02-23,17.12,18.25,17.12,17.62,210400
2000-02-24,17.56,17.75,17.38,17.5,195500
2000-02-25,17.62,18.31,17.56,18.06,142100
2000-02-28,17.88,18.06,17.69,17.75,183600
2000-02-29,17.94,18.88,17.94,18.06,286000
2000-03-01,18.12,19.81,18.12,19.75,213800
2000-03-02,19.62,19.62,18.25,18.31,163900
2000-03-03,18.5,18.69,18.31,18.38,57300
2000-03-06,18.38,18.75,18.25,18.5,118400
2000-03-07,18.62,18.94,18.5,18.94,215700
2000-03-08,18.75,19.31,18.56,19.31,284900
2000-03-09,19.31,19.75,19.31,19.56,108600
2000-03-10,19.69,19.94,19.5,19.81,136700
2000-03-13,19.62,19.62,19.25,19.38,50200
2000-03-14,19.19,19.69,18.94,19.44,272200
2000-03-15,19.44,20.25,19.06,20.25,143600
2000-03-16,20.25,23.62,20.25,23.38,509500
2000-03-17,24,25.88,23.25,24.19,400500
2000-03-20,24.19,24.19,23.19,23.56,78900
2000-03-21,23.25,24,22.5,24,141200
2000-03-22,23.88,24.94,23.12,23.94,125800
2000-03-23,23.94,25.88,23.94,25.44,212800
2000-03-24,25.44,26.19,25.25,25.44,207900
2000-03-27,25.31,25.31,24.69,24.94,57600
2000-03-28,24.75,26,24.5,24.94,326300
2000-03-29,24.94,25.25,24.62,24.94,213800
2000-03-30,25.12,27.62,25.12,26.31,125700
2000-03-31,26.56,30.5,26.56,30.5,632700
2000-04-03,29.75,31.75,29.44,29.94,671500
2000-04-04,29.75,29.75,26.75,27.75,243500
2000-04-05,27.5,28.19,26.5,27.75,155500
2000-04-06,27.5,27.94,27.19,27.5,172100
2000-04-07,27.75,27.75,25.62,26.88,172700
2000-04-10,27.12,27.12,25,25.38,67600
2000-04-11,25.62,25.62,24,24.62,165900
2000-04-12,25.62,26,24.62,24.94,135800
2000-04-13,24.69,24.75,22.5,24.5,267000
2000-04-14,24.12,25.62,24,25.25,182700
2000-04-17,25,26,24.38,24.88,520300
2000-04-18,25.12,25.44,23.12,25.12,280100
2000-04-19,25,25.06,24.5,24.56,167900
2000-04-20,24.56,25.25,23.38,25.25,512600
2000-04-24,24.88,24.88,22.88,23,589600
2000-04-25,23,24.88,22.62,24.56,125300
2000-04-26,24.56,25.81,24.12,25.81,167200
2000-04-27,25.19,26.62,25,26,198000
2000-04-28,25.75,25.75,23.75,23.81,174200
2000-05-01,24.06,24.69,24,24.5,144000
2000-05-02,24.44,24.44,23.38,23.69,102400
2000-05-03,23.75,23.81,22.94,23.06,79800
2000-05-04,23.31,25.88,22.75,24.94,294800
2000-05-05,24.94,25.75,24.62,25.19,126500
2000-05-08,25,26.12,24.88,25.31,85100
2000-05-09,25.56,25.69,24.38,24.44,171200
2000-05-10,25,26.62,25,26.06,298800
2000-05-11,25.94,26.81,25.94,26.38,264600
2000-05-12,26,27,25.75,26.62,59900
2000-05-15,26.88,27.44,26.69,27.44,84600
2000-05-16,27.19,28.88,27.19,27.75,666700
2000-05-17,27.12,29.44,27.12,29.19,372600
2000-05-18,29,29,28.06,28.12,335700
2000-05-19,28,28,26.38,26.88,134200
2000-05-22,26.62,27.75,26.56,26.62,133900
2000-05-23,26.88,28.62,26.81,27.69,214700
2000-05-24,27.5,27.94,27,27.94,135600
2000-05-25,27.81,27.81,26.88,26.94,192000
2000-05-26,26.94,26.94,25.94,26.44,115300
2000-05-30,26.12,27.5,26.12,27.12,151400
2000-05-31,27.38,28.69,26.69,27.94,134800
2000-06-01,27.94,28.88,27.94,28.88,59600
2000-06-02,29.12,29.5,28,28.31,93000
2000-06-05,28.5,28.56,27.44,28.06,65200
2000-06-06,28.62,28.75,27.88,28.69,129900
2000-06-07,28.69,29.38,27.44,28.62,86600
2000-06-08,28.38,28.38,27.75,27.88,74000
2000-06-09,27.5,28.38,27.5,28.19,226100
2000-06-12,28.19,28.5,28,28.44,37300
2000-06-13,28.38,29.12,28.38,29,135100
2000-06-14,29.06,30,29.06,29.25,362200
2000-06-15,29.44,29.5,28.25,28.62,138700
2000-06-16,28.44,29.25,28.31,28.75,187300
2000-06-19,28.88,29,28.5,28.88,53400
2000-06-20,28.94,29.12,28.56,28.94,102400
2000-06-21,28.94,29.31,28.62,28.94,94800
2000-06-22,29.12,29.12,28,28.5,170900
2000-06-23,28.31,28.38,28,28.06,56100
2000-06-26,28,29.5,27.88,29.25,99100
2000-06-27,29.31,29.5,27.5,28.12,157600
2000-06-28,28.19,28.62,27.56,28.62,228900
2000-06-29,28.38,28.69,27.81,27.81,83200
2000-06-30,28.06,28.62,26.38,26.44,232000
2000-07-03,27.44,28.88,27.25,28.88,105400
2000-07-05,29,29.06,28,28.06,236200
2000-07-06,28.06,28.62,27.75,27.88,116300
2000-07-07,27.88,29.88,27.88,27.88,134100
2000-07-10,27.88,29.19,27.88,28.44,69100
2000-07-11,29.25,29.88,28.31,29.62,200300
2000-07-12,29.44,29.75,29.12,29.12,500600
2000-07-13,29.38,29.88,28.31,28.5,190400
2000-07-14,28.62,29.94,28.62,29.62,333500
2000-07-17,29.75,30.5,29.62,30.25,175600
2000-07-18,30,31.25,29.75,31,206900
2000-07-19,31,33.12,31,32.75,345200
2000-07-20,32.81,34,32.62,32.94,236200
2000-07-21,32.12,32.31,31.38,31.56,265500
2000-07-24,31.69,31.69,30.62,31.38,280500
2000-07-25,31.38,31.5,30.75,31,215900
