date,open,high,low,close,volume,average,barCount
2024-11-11,224.99,225.7,221.5,224.23,23999572.0,223.242,123308
2024-11-12,224.43,225.59,223.35,224.23,19864507.0,224.421,101274
2024-11-13,224.01,226.65,222.76,225.12,20544396.0,224.856,107927
2024-11-14,225.11,228.87,225.0,228.22,22330857.0,227.195,121920
2024-11-15,225.7,226.92,224.27,225.0,21996750.0,225.2,108941
2024-11-18,225.22,229.74,225.17,228.02,18581033.0,228.051,102878
2024-11-19,226.65,230.16,226.65,228.28,16910837.0,228.782,87896
2024-11-20,228.06,229.93,225.89,229.0,16182979.0,227.632,89085
2024-11-21,228.85,230.16,225.71,228.52,22138570.0,228.408,113201
2024-11-22,228.29,230.72,228.06,229.87,19966208.0,229.643,101075
2024-11-25,231.45,233.25,229.74,232.87,26892705.0,231.728,135299
2024-11-26,233.35,235.57,233.33,235.06,23333529.0,234.755,124956
2024-11-27,234.44,235.69,233.81,234.93,16560530.0,234.746,86202
2024-11-29,234.84,237.81,233.97,237.33,13507648.0,236.223,64940
2024-12-02,237.27,240.79,237.16,239.59,22135929.0,239.498,108182
2024-12-03,239.82,242.76,238.9,242.65,21010452.0,241.321,105074
2024-12-04,242.87,244.11,241.25,243.01,20150972.0,242.929,103589
2024-12-05,243.99,244.54,242.13,243.04,18736848.0,243.059,96163
2024-12-06,242.91,244.63,242.08,242.84,19201673.0,243.345,94446
2024-12-09,241.9,247.24,241.75,246.75,23971474.0,245.794,120749
2024-12-10,246.91,248.21,245.34,247.77,19302261.0,247.091,103345
2024-12-11,247.94,250.8,246.26,246.49,23651713.0,248.697,111738
2024-12-12,246.89,248.74,245.68,247.96,15319612.0,247.701,80154
2024-12-13,247.84,249.3,246.24,248.13,15962883.0,247.595,86662
2024-12-16,247.99,251.38,247.65,251.04,19814176.0,250.034,101924
2024-12-17,250.19,253.83,249.78,253.48,23241118.0,252.696,125574
2024-12-18,252.16,254.28,247.74,248.05,28089652.0,251.649,154469
2024-12-19,247.48,252.0,247.09,249.79,25706735.0,249.911,147633
2024-12-20,248.04,255.0,245.69,254.49,39552831.0,251.119,155783
2024-12-23,254.77,255.65,253.45,255.27,20237606.0,254.515,110663
2024-12-24,255.49,258.21,255.29,258.2,11296761.0,257.222,53686
2024-12-26,258.19,260.03,257.63,259.02,16342667.0,258.906,75873
2024-12-27,257.83,258.7,253.06,255.59,22771841.0,255.127,125063
2024-12-30,252.22,253.5,250.75,252.2,18333313.0,252.237,92061
2024-12-31,252.44,253.28,249.43,250.42,18897800.0,250.841,100554
2025-01-02,248.93,249.1,241.82,243.85,34311269.0,244.411,169095
2025-01-03,243.4,244.18,241.89,243.36,23299547.0,243.006,107654
2025-01-06,244.36,247.33,243.2,245.0,21345363.0,245.339,104686
2025-01-07,242.7,245.55,241.35,242.21,20839538.0,243.274,100854
2025-01-08,241.92,243.72,240.05,242.7,19196596.0,242.131,95979
2025-01-10,240.0,240.16,233.0,236.85,33481119.0,236.475,168819
2025-01-13,233.65,234.67,229.77,234.4,27109788.0,232.117,131773
2025-01-14,234.75,236.12,232.47,233.28,19814621.0,234.157,107720
2025-01-15,234.73,238.96,234.43,237.87,20466879.0,237.476,104214
2025-01-16,237.32,238.01,228.03,228.26,43951332.0,230.999,219124
2025-01-17,232.12,232.29,228.48,229.98,40901029.0,230.671,150176
2025-01-21,224.0,224.42,219.38,222.64,56496450.0,221.314,265418
2025-01-22,219.75,224.12,219.75,223.83,34849914.0,222.451,157464
2025-01-23,224.73,227.03,222.3,223.66,34422904.0,224.301,156039
2025-01-24,224.78,225.63,221.41,222.78,31809304.0,223.182,150399
2025-01-27,224.02,232.15,223.98,229.86,54507674.0,228.857,272980
2025-01-28,230.84,240.19,230.81,238.26,44379063.0,237.426,211206
2025-01-29,234.12,239.86,234.01,239.36,26388668.0,237.099,133903
2025-01-30,238.67,240.79,237.21,237.59,25244336.0,238.849,128243
2025-01-31,247.09,247.19,233.44,236.0,55123227.0,239.298,254375
2025-02-03,230.0,231.83,225.7,228.01,44021552.0,228.172,215856
2025-02-04,227.25,233.13,226.65,232.8,25058543.0,230.895,126289
2025-02-05,228.53,232.67,228.27,232.47,20449875.0,230.314,105563
2025-02-06,231.32,233.8,230.42,233.22,16237765.0,232.145,83308
2025-02-07,232.54,234.0,227.26,227.63,22173050.0,229.554,117770
2025-02-10,229.52,230.59,227.2,227.65,16324716.0,228.833,85783
2025-02-11,228.2,235.23,228.13,232.62,29100164.0,232.75,148594
2025-02-12,231.12,236.96,230.68,236.87,24130243.0,234.595,138689
2025-02-13,236.91,242.34,235.57,241.53,28122714.0,239.92,143697
2025-02-14,241.21,245.35,240.99,244.6,23581090.0,243.951,125198
2025-02-18,244.15,245.18,241.84,244.47,21465678.0,243.942,115535
2025-02-19,244.66,246.01,243.16,244.87,16915146.0,244.654,90939
2025-02-20,244.94,246.78,244.29,245.83,19064874.0,245.604,102816
2025-02-21,246.01,248.69,245.22,245.55,28716437.0,246.568,144391
2025-02-24,245.0,248.86,244.42,247.1,27787509.0,247.353,157395
2025-02-25,248.0,250.0,244.91,247.04,27644733.0,247.641,153691
2025-02-26,244.38,244.98,239.13,240.36,26055507.0,241.868,156766
2025-02-27,239.61,242.46,237.06,237.3,20520636.0,239.998,120829
2025-02-28,236.98,242.09,233.74,241.84,25233865.0,238.107,152442
2025-03-03,241.81,244.03,236.11,238.03,24769630.0,240.482,143871
2025-03-04,237.71,240.07,234.68,235.93,30530420.0,237.953,174656
2025-03-05,235.43,236.55,229.23,235.74,26940242.0,233.477,148452
2025-03-06,234.44,237.86,233.33,235.33,26407216.0,235.291,152498
2025-03-07,235.17,241.37,234.76,239.07,30095115.0,238.924,177529
2025-03-10,235.5,236.16,224.22,227.48,43234197.0,227.65,258650
2025-03-11,223.82,225.84,217.45,220.84,44974442.0,221.144,242887
2025-03-12,220.14,221.75,214.91,216.98,38748044.0,217.704,204102
2025-03-13,215.94,216.84,208.42,209.68,38870537.0,212.393,206792
2025-03-14,211.25,213.95,209.58,213.49,35431205.0,212.251,186104
2025-03-17,213.31,215.22,210.0,214.0,27817291.0,213.021,143192
2025-03-18,214.15,215.15,211.49,212.69,24692713.0,213.202,141920
2025-03-19,214.09,218.76,213.75,215.24,28760698.0,215.764,156156
2025-03-20,213.81,217.49,212.22,214.1,26158446.0,214.533,142644
2025-03-21,211.51,218.84,211.28,218.27,36345830.0,214.284,149030
2025-03-24,221.0,221.48,218.58,220.73,24160782.0,219.868,127665
2025-03-25,220.77,224.1,220.08,223.75,19719670.0,222.93,104652
2025-03-26,223.51,225.02,220.47,221.53,19730872.0,222.811,111484
2025-03-27,221.39,224.99,220.56,223.85,19494683.0,223.219,107099
2025-03-28,221.73,223.81,217.68,217.9,22273732.0,219.796,125527
2025-03-31,217.2,225.62,216.23,222.13,32521427.0,219.994,186453
2025-04-01,219.76,223.68,218.9,223.19,19998136.0,222.091,116605
2025-04-02,221.35,225.19,221.02,223.89,18595157.0,223.739,100778
2025-04-03,205.53,207.49,201.25,203.19,61468823.0,204.139,337122
2025-04-04,193.92,199.88,187.34,188.38,74838788.0,193.141,410005
2025-04-07,177.21,194.15,174.72,181.46,102060761.0,180.365,569010
2025-04-08,186.53,190.34,169.21,172.42,73777164.0,180.109,411060
2025-04-09,172.06,200.61,171.89,198.85,116322379.0,186.645,644995
2025-04-10,189.06,194.78,183.0,190.42,68241467.0,189.792,413327
2025-04-11,186.1,199.54,186.06,198.15,53770920.0,195.259,296497
2025-04-14,211.43,212.94,201.16,202.52,66414971.0,205.667,338308
2025-04-15,201.76,203.51,199.8,202.14,29238300.0,202.195,165203
2025-04-16,198.36,200.7,192.37,194.27,35896165.0,196.215,200071
2025-04-17,197.02,198.84,194.42,196.98,29851913.0,196.876,153473
2025-04-21,193.31,193.8,189.81,193.16,23372077.0,191.611,128003
2025-04-22,196.0,201.59,195.97,199.74,29453698.0,199.095,152437
2025-04-23,205.99,208.0,202.79,204.6,30477438.0,205.506,168361
2025-04-24,204.94,208.83,202.94,208.37,21891409.0,206.48,125126
2025-04-25,206.35,209.75,206.2,209.28,19849830.0,208.137,108878
2025-04-28,210.06,211.5,207.46,210.14,19037050.0,209.496,101542
2025-04-29,208.8,212.24,208.37,211.21,16647114.0,210.941,91661
2025-04-30,209.26,213.58,206.67,212.5,20863441.0,210.563,109876
2025-05-01,208.9,214.56,208.9,213.32,26794399.0,212.25,140383
2025-05-02,206.09,206.99,202.16,205.35,58989850.0,204.711,296603
2025-05-05,203.1,204.1,198.21,198.89,38079557.0,199.884,176309
2025-05-06,198.17,200.65,197.02,198.51,26765829.0,198.944,137264
