date,open,high,low,close,volume,average,barCount
2024-04-29,35.23,35.33,34.12,34.48,2285789.0,34.572,14835
2024-04-30,34.27,35.1,33.83,34.13,2302341.0,34.516,11955
2024-05-01,34.42,36.35,34.34,35.46,3233845.0,35.346,20205
2024-05-02,35.34,35.75,34.74,35.61,1569941.0,35.373,8583
2024-05-03,35.94,36.81,35.51,36.7,1480937.0,36.352,8866
2024-05-06,37.0,37.52,36.17,36.53,2790123.0,36.801,15509
2024-05-07,37.38,37.99,36.72,37.52,3574452.0,37.397,18280
2024-05-08,36.82,37.64,36.74,37.48,4177321.0,37.246,20767
2024-05-09,37.75,38.87,35.32,36.09,5593774.0,36.647,31396
2024-05-10,35.57,35.95,34.88,34.94,4025555.0,35.18,23560
2024-05-13,34.38,35.03,33.47,34.75,3021564.0,34.729,18765
2024-05-14,34.94,34.98,34.09,34.3,1721592.0,34.424,11627
2024-05-15,34.61,35.0,31.9,32.85,7868382.0,32.994,42722
2024-05-16,33.3,33.99,32.74,33.2,3050203.0,33.482,19206
2024-05-17,33.17,34.66,32.87,34.44,3043637.0,34.267,20111
2024-05-20,34.11,34.64,32.38,32.92,3988127.0,33.049,23899
2024-05-21,32.94,33.39,32.26,32.58,2362894.0,32.661,12501
2024-05-22,32.31,33.6,32.28,32.87,1866097.0,33.125,12139
2024-05-23,32.8,32.99,32.25,32.6,2427253.0,32.634,16685
2024-05-24,32.8,32.82,31.73,32.37,2457200.0,32.162,13196
2024-05-28,32.5,32.52,31.72,32.22,1667351.0,32.126,10853
2024-05-29,31.96,32.13,30.89,30.92,4119267.0,31.334,25190
2024-05-30,30.91,31.23,30.48,30.5,2135728.0,30.734,12587
2024-05-31,30.5,30.67,30.07,30.48,2231439.0,30.355,13469
2024-06-03,30.7,31.33,30.3,31.0,2576445.0,30.886,15221
2024-06-04,30.69,31.01,29.95,30.13,1378295.0,30.316,8043
2024-06-05,31.05,31.27,30.22,30.95,3137871.0,30.812,15267
2024-06-06,32.23,34.02,31.61,33.78,4741376.0,33.353,26323
2024-06-07,33.36,34.03,32.91,32.98,1870278.0,33.271,10268
2024-06-10,33.04,34.73,32.93,34.51,2842760.0,34.036,16616
2024-06-11,34.39,34.57,33.06,33.37,2884824.0,33.407,15555
