date,open,high,low,close,volume,average,barCount
2024-11-25,375.0,377.42,360.78,363.68,2508652.0,366.799,15630
2024-11-26,363.0,367.35,359.25,364.3,2788656.0,363.829,18415
2024-11-27,359.22,359.22,340.52,347.59,6609397.0,346.27,39473
2024-11-29,349.5,350.16,344.72,345.97,1288914.0,347.633,7326
2024-12-02,345.9,354.34,336.56,346.8,2863295.0,346.709,14821
2024-12-03,345.0,351.95,343.4,349.95,1655092.0,349.43,9760
2024-12-04,353.0,366.44,348.5,364.16,2311470.0,359.76,14092
2024-12-05,361.2,366.25,358.6,364.84,1426875.0,363.297,9006
2024-12-06,364.54,371.27,360.99,365.65,1313910.0,366.523,8453
2024-12-09,365.65,366.59,351.77,353.6,1225795.0,357.601,7612
2024-12-10,353.6,357.26,344.6,346.78,1121151.0,351.153,6904
2024-12-11,348.52,364.9,348.19,362.97,1606007.0,359.529,9362
2024-12-12,360.47,365.84,357.55,365.5,968448.0,363.442,6018
2024-12-13,365.52,370.29,361.52,368.02,1312998.0,366.587,8420
2024-12-16,368.76,389.0,364.89,388.2,2631771.0,380.68,16756
2024-12-17,386.99,388.0,373.24,376.42,1686071.0,379.263,9743
2024-12-18,376.42,379.19,345.46,349.18,2274893.0,360.342,14588
2024-12-19,364.17,365.0,349.75,351.03,1783955.0,354.669,10432
2024-12-20,347.3,365.44,345.05,362.29,1645944.0,356.81,8351
2024-12-23,358.49,365.73,354.23,361.5,1375885.0,359.88,6558
2024-12-24,361.07,366.0,359.26,365.79,666324.0,363.355,3926
2024-12-26,365.75,366.64,361.94,365.08,540442.0,364.812,3281
2024-12-27,361.15,361.92,349.85,354.99,1341906.0,354.332,8562
2024-12-30,347.61,352.88,344.34,349.31,940470.0,349.416,6304
2024-12-31,351.62,351.86,339.72,342.16,1140533.0,344.468,7296
2025-01-02,346.52,350.5,341.03,347.34,1254933.0,345.687,8224
2025-01-03,349.23,359.69,348.0,359.02,1350047.0,356.498,8941
2025-01-06,362.5,368.39,356.03,366.36,1230389.0,363.791,7624
2025-01-07,366.1,370.37,354.12,359.93,1072280.0,361.676,6659
2025-01-08,356.19,365.07,351.31,358.72,1223017.0,358.859,7878
2025-01-10,354.8,354.91,343.99,348.84,1230506.0,348.693,7538
2025-01-13,343.02,345.17,335.55,341.46,1539403.0,339.402,8790
2025-01-14,345.0,351.98,343.25,348.04,1096894.0,347.925,6793
2025-01-15,355.0,365.28,352.96,362.02,1113615.0,360.904,7054
2025-01-16,366.26,369.02,360.66,363.38,952808.0,365.267,5626
2025-01-17,370.15,370.95,349.55,357.0,1990038.0,357.753,10388
2025-01-21,360.54,370.0,358.3,366.41,1128135.0,365.188,6500
2025-01-22,368.5,381.49,363.0,377.98,1425873.0,375.549,8975
2025-01-23,376.81,377.95,371.84,377.7,860967.0,375.411,5646
2025-01-24,378.3,384.3,373.67,374.92,984050.0,378.83,6347
2025-01-27,367.46,382.45,359.66,373.75,1428850.0,372.003,8557
2025-01-28,373.4,411.3,372.57,408.68,3891858.0,401.573,23530
2025-01-29,404.48,404.62,390.22,397.07,2118784.0,396.217,12900
2025-01-30,399.13,403.09,390.85,396.87,1162294.0,396.709,7188
2025-01-31,398.7,408.1,397.35,398.07,1421808.0,403.129,9379
2025-02-03,386.5,399.94,384.24,397.57,1537735.0,392.532,9584
2025-02-04,397.27,408.44,396.0,407.52,1224059.0,403.201,7690
2025-02-05,408.0,419.39,405.02,417.22,1520653.0,413.364,10086
2025-02-06,416.16,421.63,413.72,420.51,974752.0,418.121,6310
2025-02-07,424.0,431.33,419.32,421.59,1511563.0,424.409,9757
2025-02-10,424.78,431.91,424.48,428.92,914484.0,428.27,5926
2025-02-11,426.65,434.79,424.08,431.64,1078980.0,429.824,6471
2025-02-12,425.2,437.6,424.21,434.63,883107.0,432.154,4871
2025-02-13,435.0,454.13,432.19,453.77,1448054.0,445.496,9263
2025-02-14,449.47,453.46,442.87,451.74,1405301.0,449.496,8927
2025-02-18,451.67,455.44,445.27,455.36,1151263.0,450.225,7726
2025-02-19,455.36,455.59,444.58,450.14,1102369.0,449.656,6966
2025-02-20,441.92,442.73,418.31,436.14,2549698.0,429.54,16250
2025-02-21,428.86,433.23,404.54,406.68,2788483.0,416.924,17264
2025-02-24,405.38,405.9,382.34,391.72,2775213.0,392.266,17111
2025-02-25,387.27,389.0,369.31,379.75,2117193.0,377.227,13297
2025-02-26,384.69,401.7,381.74,394.56,1726100.0,395.444,10279
2025-02-27,402.31,406.53,380.0,380.24,1545134.0,390.916,10205
2025-02-28,379.67,390.52,377.38,389.66,1328525.0,385.466,8769
2025-03-03,398.75,404.6,378.34,382.73,2731214.0,390.598,15724
2025-03-04,376.53,396.16,370.58,390.16,3375924.0,384.383,20402
2025-03-05,361.68,367.32,343.0,365.44,9958446.0,356.887,58975
2025-03-06,357.0,371.72,345.82,347.73,2969752.0,356.858,18101
2025-03-07,345.22,347.73,318.04,333.5,3884671.0,330.819,23671
2025-03-10,322.65,323.95,303.79,308.86,3526423.0,310.295,20466
2025-03-11,310.41,339.0,308.0,329.75,4326804.0,327.798,25675
2025-03-12,343.59,347.73,336.76,346.76,2826860.0,344.275,17280
2025-03-13,346.57,347.84,330.62,332.53,1837437.0,335.18,11093
2025-03-14,339.22,354.5,337.14,353.74,1987396.0,348.222,12328
2025-03-17,353.0,370.86,352.56,364.83,2081392.0,364.257,12988
2025-03-18,362.1,368.47,356.71,363.15,1459203.0,362.025,8714
2025-03-19,366.22,381.26,362.25,375.05,1860909.0,375.053,10990
2025-03-20,371.28,377.49,364.46,369.03,1487062.0,370.721,9388
2025-03-21,358.91,372.19,353.03,362.24,2791717.0,363.709,13564
2025-03-24,369.85,373.63,361.66,372.64,1782884.0,367.473,9991
2025-03-25,378.08,392.7,377.0,384.95,2269583.0,387.134,12248
2025-03-26,383.9,384.78,370.36,371.41,1530994.0,375.172,7623
2025-03-27,368.72,371.46,360.28,366.56,1357283.0,367.373,7288
2025-03-28,365.82,367.64,353.48,357.11,1406478.0,358.639,8311
2025-03-31,346.37,353.64,337.89,352.58,1442609.0,346.595,8737
2025-04-01,358.94,363.17,351.25,362.38,1309113.0,358.845,7581
2025-04-02,353.16,376.27,353.02,371.49,1116945.0,369.24,7433
2025-04-03,352.06,360.92,341.81,347.39,1905040.0,350.546,11614
2025-04-04,328.02,334.05,310.31,321.63,3605148.0,322.182,23667
2025-04-07,301.47,341.77,298.0,324.36,3539596.0,319.825,22306
2025-04-08,342.71,351.06,318.38,325.04,2802378.0,336.549,18939
2025-04-09,324.6,382.65,324.49,378.01,4047492.0,360.303,26630
