date,open,high,low,close,volume,average,barCount
2025-05-22 09:30:00-04:00,430.72,447.0,430.0,447.0,295875.0,440.186,1563
2025-05-22 10:00:00-04:00,447.0,448.88,443.58,444.8,117303.0,446.326,744
2025-05-22 10:30:00-04:00,444.68,446.34,441.2,444.42,76692.0,444.243,500
2025-05-22 11:00:00-04:00,444.86,447.21,444.38,445.15,61668.0,445.658,418
2025-05-22 11:30:00-04:00,445.33,447.07,444.93,446.36,42478.0,446.002,293
2025-05-22 12:00:00-04:00,446.16,446.66,444.66,445.25,31838.0,445.847,193
2025-05-22 12:30:00-04:00,445.45,445.49,443.08,443.78,42598.0,444.066,321
2025-05-22 13:00:00-04:00,444.02,446.16,443.74,445.37,37496.0,445.002,300
2025-05-22 13:30:00-04:00,445.45,446.6,444.94,445.72,54038.0,445.805,361
2025-05-22 14:00:00-04:00,445.82,447.5,445.35,446.29,58323.0,446.53,439
2025-05-22 14:30:00-04:00,446.38,447.12,445.9,446.8,43493.0,446.566,315
2025-05-22 15:00:00-04:00,446.8,447.87,446.65,447.77,78687.0,447.258,614
2025-05-22 15:30:00-04:00,447.74,448.25,443.85,444.08,170985.0,445.816,1322
