date,open,high,low,close,volume,average,barCount
2024-07-29,105.32,106.67,104.62,105.99,1971080.0,105.875,12629
2024-07-30,106.59,108.48,105.34,107.21,2456972.0,106.734,15180
2024-07-31,109.83,111.72,108.72,110.72,2630141.0,110.381,19186
2024-08-01,108.62,112.77,105.9,108.2,4614222.0,108.662,31641
2024-08-02,116.66,119.59,113.61,117.23,8066880.0,116.628,48317
2024-08-05,106.31,121.38,106.21,121.3,7966285.0,117.281,52028
2024-08-06,122.49,124.78,120.91,122.64,3966459.0,123.394,25343
2024-08-07,123.81,126.37,121.41,121.49,3818640.0,124.056,25487
2024-08-08,122.01,125.9,121.18,124.76,3478107.0,124.478,22711
2024-08-09,124.72,125.58,123.4,123.81,1577491.0,124.226,12209
2024-08-12,123.58,124.57,121.44,124.04,1769468.0,123.565,13429
2024-08-13,124.19,128.69,123.88,127.94,2356382.0,127.269,15540
2024-08-14,128.01,128.75,124.9,126.93,1606525.0,126.571,11129
2024-08-15,127.54,130.55,126.5,130.29,2218185.0,129.442,13988
2024-08-16,129.65,130.58,127.17,129.03,1836795.0,129.143,12645
2024-08-19,129.6,130.01,127.41,129.56,1222518.0,128.87,9137
2024-08-20,128.4,129.31,125.29,127.54,3878673.0,126.435,27288
2024-08-21,127.83,129.71,126.64,129.45,1194867.0,128.491,7453
2024-08-22,129.9,131.21,128.63,128.8,1083770.0,130.111,7064
2024-08-23,129.39,130.46,128.17,128.81,1175386.0,129.212,7648
2024-08-26,128.62,131.18,127.86,128.62,1323858.0,129.14,8708
2024-08-27,127.31,129.51,127.13,128.48,803764.0,128.349,5502
2024-08-28,128.24,128.36,126.04,127.16,1147215.0,127.043,8497
2024-08-29,127.88,128.46,125.91,126.53,1008256.0,127.025,6796
2024-08-30,127.74,129.75,126.74,128.71,1297711.0,128.033,8276
2024-09-03,128.04,129.51,124.28,125.05,1317371.0,126.775,9715
2024-09-04,124.85,126.7,123.44,125.42,995863.0,125.383,6457
2024-09-05,125.04,128.15,124.68,126.35,873581.0,126.577,6382
2024-09-06,126.07,126.41,122.32,123.56,1235769.0,123.589,8583
2024-09-09,124.62,126.72,123.94,124.61,1130654.0,125.079,7183
2024-09-10,124.21,126.88,122.73,125.81,1420394.0,124.984,9900
2024-09-11,125.91,130.34,124.47,130.02,1778772.0,128.138,11698
2024-09-12,130.61,130.99,129.37,130.19,1194694.0,130.254,8554
2024-09-13,131.09,133.19,130.67,131.35,2184080.0,132.099,14868
2024-09-16,131.22,133.15,130.3,130.87,1117979.0,131.302,7609
2024-09-17,131.35,131.37,126.9,129.88,1770605.0,128.916,12546
2024-09-18,131.22,134.05,130.32,132.48,1316377.0,132.508,8566
2024-09-19,137.78,138.65,136.05,137.29,2909751.0,137.397,17577
2024-09-20,137.36,139.89,136.53,139.72,2790249.0,138.487,16366
2024-09-23,140.21,140.68,138.71,139.51,1867400.0,139.56,12572
2024-09-24,140.73,141.93,138.59,141.68,1688210.0,141.015,9738
2024-09-25,144.32,146.36,143.3,143.93,2003790.0,144.17,13152
2024-09-26,145.18,145.33,142.62,143.02,2445463.0,143.521,15658
2024-09-27,143.37,144.8,142.12,142.23,1439050.0,142.883,8790
2024-09-30,142.61,143.05,141.16,142.73,1397511.0,142.253,6853
2024-10-01,143.36,144.5,140.53,141.93,1387646.0,142.436,8891
2024-10-02,141.9,144.36,141.57,143.58,1679754.0,143.314,10512
2024-10-03,142.17,143.33,140.62,142.12,1286037.0,142.101,7876
2024-10-04,144.07,145.41,143.58,144.86,1737669.0,144.657,11044
2024-10-07,144.68,144.83,141.84,142.08,1307604.0,142.965,8831
2024-10-08,142.22,144.29,141.26,143.3,1680225.0,143.211,11236
2024-10-09,143.0,143.96,142.45,142.65,1123635.0,142.928,7813
2024-10-10,142.64,146.38,141.76,144.49,3910798.0,143.946,20845
2024-10-11,145.5,150.0,145.0,149.44,3076140.0,148.833,20430
2024-10-14,149.79,150.29,148.1,150.02,2032540.0,149.579,12166
2024-10-15,149.77,150.0,143.37,148.87,2346766.0,147.292,15676
2024-10-16,148.64,150.06,147.31,149.86,915037.0,149.176,6490
2024-10-17,151.71,152.11,149.8,151.4,1640062.0,150.784,10075
2024-10-18,151.63,152.53,150.34,151.98,937022.0,151.557,5991
2024-10-21,151.38,152.89,150.7,152.89,1005083.0,151.829,6568
2024-10-22,152.16,154.16,151.73,152.54,1160135.0,153.194,7610
2024-10-23,152.11,153.04,150.26,150.92,1083583.0,151.68,7188
2024-10-24,152.01,153.86,151.26,153.19,879750.0,152.799,6009
2024-10-25,153.71,155.29,152.86,153.88,1117840.0,154.062,7796
2024-10-28,154.96,155.31,153.29,153.37,1237503.0,154.321,8392
2024-10-29,154.48,155.93,153.59,155.2,2432600.0,155.244,14331
2024-10-30,154.19,156.58,153.1,155.25,2671829.0,155.47,17542
2024-10-31,164.31,165.07,154.2,156.7,4509548.0,157.026,29267
2024-11-01,156.09,158.16,152.26,155.66,2384238.0,155.648,15395
2024-11-04,155.0,157.35,152.57,157.24,1226460.0,156.382,7812
2024-11-05,157.29,160.26,156.69,159.46,1507728.0,159.368,8962
2024-11-06,162.3,169.74,161.65,169.64,3007035.0,166.631,19512
2024-11-07,169.13,171.2,167.64,170.59,1742012.0,170.226,8354
2024-11-08,170.14,172.18,169.57,171.4,1287751.0,171.27,8218
2024-11-11,171.61,175.23,170.51,174.95,1693011.0,173.647,11951
2024-11-12,174.9,177.3,173.58,176.49,1686492.0,176.173,10001
