date,open,high,low,close,volume,average,barCount
2024-02-20,153.03,154.37,150.48,151.94,1179507.0,151.433,8310
2024-02-21,152.02,152.44,149.81,151.11,788353.0,150.971,5837
2024-02-22,153.37,153.83,151.76,152.44,764342.0,152.61,5980
2024-02-23,152.13,153.06,150.85,151.01,610685.0,151.511,4911
2024-02-26,151.25,151.46,149.53,149.71,600160.0,150.358,4747
2024-02-27,150.0,150.11,147.01,147.94,1270708.0,147.845,8944
2024-02-28,148.48,148.5,145.89,147.48,787265.0,147.016,6069
2024-02-29,148.0,148.35,145.61,146.93,894790.0,146.484,6378
2024-03-01,146.49,150.76,145.5,150.34,1239559.0,149.027,9305
2024-03-04,150.34,150.83,146.31,146.33,1678599.0,147.183,9541
2024-03-05,145.32,145.32,142.0,143.94,1840914.0,143.319,11329
2024-03-06,145.95,146.48,143.35,143.9,623998.0,144.696,4649
2024-03-07,145.27,145.57,143.8,145.01,729506.0,144.694,5638
2024-03-08,144.79,145.72,142.64,143.73,507280.0,144.089,4154
2024-03-11,143.73,147.53,143.55,145.87,967305.0,146.302,7026
2024-03-12,145.13,145.97,143.74,144.53,829646.0,144.555,6037
2024-03-13,144.53,146.69,144.12,144.89,540383.0,145.663,4218
2024-03-14,143.76,144.22,141.45,143.77,730209.0,143.196,5220
2024-03-15,143.29,144.67,142.03,143.91,1147796.0,143.393,7124
2024-03-18,143.96,145.21,143.43,144.62,889340.0,144.49,7018
2024-03-19,144.23,145.45,143.5,145.2,446368.0,144.722,3652
2024-03-20,145.46,149.41,145.12,148.43,1355732.0,147.841,10583
2024-03-21,149.93,153.23,149.45,152.17,906731.0,152.13,6855
2024-03-22,152.67,153.24,151.72,152.46,505129.0,152.427,3894
2024-03-25,150.33,150.42,141.83,146.14,2243928.0,144.702,14946
2024-03-26,147.29,148.7,145.04,146.67,889765.0,146.252,5746
2024-03-27,148.0,148.0,146.17,146.92,479139.0,146.958,3523
2024-03-28,145.19,150.34,144.57,148.49,823510.0,148.37,5943
2024-04-01,148.69,150.48,147.51,150.0,682179.0,149.416,4731
2024-04-02,149.08,149.64,147.76,149.57,448466.0,148.972,3507
2024-04-03,149.39,152.0,148.63,151.73,691057.0,151.194,4909
2024-04-04,153.24,153.4,149.33,149.59,725118.0,151.598,5126
2024-04-05,149.82,151.82,149.82,151.04,635308.0,150.967,5015
2024-04-08,154.25,155.35,151.75,153.65,755971.0,154.008,5715
2024-04-09,155.24,156.25,153.37,154.7,453914.0,154.679,3426
2024-04-10,152.02,153.11,151.12,152.12,654713.0,151.977,5059
2024-04-11,152.68,153.05,150.37,151.34,499404.0,151.803,4127
2024-04-12,150.0,150.32,147.18,147.27,1134372.0,148.478,8239
2024-04-15,147.63,147.76,144.48,145.3,1011235.0,145.578,6015
2024-04-16,145.3,146.11,144.69,145.45,1061678.0,145.424,5949
2024-04-17,146.3,147.27,143.04,143.16,810287.0,144.487,5671
2024-04-18,143.74,143.85,140.38,140.64,781366.0,141.746,5898
2024-04-19,140.02,140.94,139.25,140.6,1473938.0,140.237,7165
2024-04-22,140.6,141.13,138.93,139.96,473933.0,140.232,3518
2024-04-23,140.85,143.25,140.55,141.72,581782.0,142.272,4512
2024-04-24,140.97,142.93,140.82,142.83,360908.0,142.152,2442
2024-04-25,142.65,143.88,141.04,143.43,471492.0,142.949,3322
2024-04-26,143.12,145.69,143.12,144.47,284120.0,144.896,2115
2024-04-29,144.08,145.72,143.73,144.27,510653.0,144.719,3684
2024-04-30,143.29,144.28,142.48,142.81,1136650.0,143.247,7220
2024-05-01,142.22,145.12,141.52,142.74,440681.0,143.443,3361
2024-05-02,143.87,143.87,140.36,143.07,538171.0,142.194,4155
2024-05-03,144.42,146.28,143.95,145.88,378442.0,145.531,2841
2024-05-06,146.0,148.45,145.92,148.34,401040.0,147.666,3104
2024-05-07,148.0,148.73,147.51,148.33,455113.0,148.228,3457
2024-05-08,147.75,148.0,145.38,145.97,594161.0,146.091,4651
2024-05-09,145.61,146.56,145.13,145.68,580132.0,145.685,3475
2024-05-10,145.51,146.64,144.87,145.88,642979.0,145.986,4911
2024-05-13,146.55,146.91,143.69,143.95,768023.0,144.923,5728
2024-05-14,144.01,145.31,143.55,144.96,781400.0,144.882,5901
2024-05-15,145.99,148.25,145.45,148.08,906593.0,146.891,6890
2024-05-16,148.97,148.97,145.5,146.08,1355200.0,146.266,10061
2024-05-17,151.64,154.41,146.2,147.84,3283729.0,148.977,20591
2024-05-20,147.1,151.01,146.67,150.9,1090035.0,149.457,7330
2024-05-21,150.0,152.74,150.0,151.42,903538.0,151.437,6809
2024-05-22,151.38,153.07,149.68,150.61,674418.0,151.094,4893
2024-05-23,153.52,154.54,151.33,152.33,1187814.0,152.812,7970
2024-05-24,152.44,155.17,151.77,154.6,857323.0,153.962,5192
2024-05-28,154.97,157.37,153.96,156.79,1056999.0,156.077,7768
2024-05-29,155.81,160.4,155.6,159.68,998029.0,158.768,7876
2024-05-30,159.68,160.73,157.86,159.78,522006.0,159.474,3709
2024-05-31,160.16,160.84,158.45,160.36,615284.0,159.686,4673
2024-06-03,160.25,163.73,160.01,163.64,943667.0,162.272,7374
2024-06-04,163.06,166.29,161.38,165.96,912590.0,164.614,6382
2024-06-05,166.5,167.75,165.07,167.43,717602.0,166.948,4971
2024-06-06,167.12,168.68,165.45,165.67,809479.0,166.765,4883
2024-06-07,165.65,166.43,164.65,164.77,780058.0,165.253,4737
